"screen_name","created_at","tweet_id","text","extended_tweet","in_reply_to_screen_name","in_reply_to_status_id","retweet_count","favorite_count","truncated","language","in_reply_to_user_id"
"Nasdaq","2020-05-06 20:46:41","1258136124763123714","Keep up to date with the latest &amp; greatest in #CorpGov: https://t.co/bZGbNPBVLU","Keep up to date with the latest &amp; greatest in #CorpGov: https://t.co/bZGbNPBVLU",,,"4","5",,"en",
"TheAESCorp","2020-05-06 20:47:03","1258136214944788483","If you’re working from home during #COVID19, what has surprised you? Olivier Marquette, @AES_BULGARIA President, fo… https://t.co/ZWv3H7f1NT","If you’re working from home during #COVID19, what has surprised you? Olivier Marquette, @AES_BULGARIA President, fo… https://t.co/ZWv3H7f1NT",,,"1","8",,"en",
"JuniperNetworks","2020-05-06 20:49:04","1258136724884111372","Today's cyberattacks prioritize quantity over quality. Listen to our Threat Labs podcast for tips on mitigating… https://t.co/5oMbtHT9sU","Today's cyberattacks prioritize quantity over quality. Listen to our Threat Labs podcast for tips on mitigating… https://t.co/5oMbtHT9sU",,,"2","6",,"en",
"ZebraTechnology","2020-05-06 20:50:21","1258137045899382784","This year, National Nurses Week is part of the Year of the Nurse and Midwife celebration. Watch how we’re honoring… https://t.co/QGKY5fxOWE","This year, National Nurses Week is part of the Year of the Nurse and Midwife celebration. Watch how we’re honoring… https://t.co/QGKY5fxOWE",,,"15","6",,"en",
"Cummins","2020-05-06 20:51:33","1258137349478846465",".@Cummins stands with our Cummins Powers Women partner, @girls_inc, in support of girls as they call for positive s… https://t.co/De8hEN5D2P",".@Cummins stands with our Cummins Powers Women partner, @girls_inc, in support of girls as they call for positive s… https://t.co/De8hEN5D2P",,,"2","20",,"en",
"citrix","2020-05-06 20:52:15","1258137523416686599","Did you catch @DavidJHenshall on @FoxBusiness earlier? He joined @LizClaman to talk more about Citrix's multiphase… https://t.co/DFrmEfDWpL","Did you catch @DavidJHenshall on @FoxBusiness earlier? He joined @LizClaman to talk more about Citrix's multiphase… https://t.co/DFrmEfDWpL",,,"3","8",,"en",
"CFIndustries","2020-05-06 20:53:46","1258137907774308352","CF Industries reports first quarter 2020 earnings. https://t.co/Wy1EBzc5qG https://t.co/mCz9PHY1JX","CF Industries reports first quarter 2020 earnings. https://t.co/Wy1EBzc5qG https://t.co/mCz9PHY1JX",,,"2","11",,"en",
"nielsen","2020-05-06 20:56:30","1258138591936512003","Change requires the acceptance of turbulence, uncertainty, and disorder.

@kellyabcarian, our GM Advanced Video Adv… https://t.co/er54otQKij","Change requires the acceptance of turbulence, uncertainty, and disorder.

@kellyabcarian, our GM Advanced Video Adv… https://t.co/er54otQKij",,,"1","5",,"en",
"ATT","2020-05-06 20:59:27","1258139334185594880","Join us for this week's #FirstResponderFriday starring @KelseaBallerini.🤩 Help celebrate &amp; raise funds for frontlin… https://t.co/GcC5RfD71D","Join us for this week's #FirstResponderFriday starring @KelseaBallerini.🤩 Help celebrate &amp; raise funds for frontlin… https://t.co/GcC5RfD71D",,,"7","24",,"en",
"UPS","2020-05-06 21:00:00","1258139476645146625","Found a great gift for Mom? We’ll help you find the right shipping service to get it there by Sunday. 🎁
#MothersDay","Found a great gift for Mom? We’ll help you find the right shipping service to get it there by Sunday. 🎁
#MothersDay",,,"0","9",,"en",
